date,latitude,longitude,magnitude,depth_km,location,alert,tsunami
2022-01-24 03:35:00,27.6668,84.4528,8.3,41.0,Nepal - Kathmandu,green,0
2022-01-28 09:50:00,-7.9108,110.2402,3.5,20.2,Indonesia - Jawa,green,0
2022-02-12 12:31:00,13.6102,121.5112,5.5,24.4,Filipina - Luzon,green,0
2022-03-10 09:09:00,0.9953,98.0119,5.9,116.8,Indonesia - Sumatra,green,0
2022-03-17 07:34:00,30.7788,131.1972,4.1,50.8,Jepang - Kyushu,green,0
2022-03-26 01:05:00,32.7159,24.2742,8.8,79.6,Yunani - Kreta,yellow,0
2022-04-01 06:24:00,-4.9558,150.6429,8.8,5.1,Papua Nugini - New Britain,green,1
2022-04-06 22:28:00,-35.343,-71.8354,7.3,4.9,Chile - Valparaiso,yellow,1
2022-04-17 00:04:00,-9.1388,110.6049,5.6,1.3,Indonesia - Jawa,green,0
2022-05-16 07:35:00,-3.363,151.6394,4.4,52.8,Papua Nugini - New Britain,green,0
2022-05-18 08:35:00,36.2514,-121.4509,8.8,12.4,Amerika Serikat - California,green,0
2022-06-04 19:27:00,-1.4122,103.1277,4.4,11.6,Indonesia - Sumatra,green,0
2022-06-05 11:48:00,34.0981,24.7627,8.8,8.9,Yunani - Kreta,green,0
2022-06-16 12:39:00,38.0583,138.4782,5.2,31.8,Jepang - Honshu,green,0
2022-07-08 02:48:00,36.0104,141.0384,6.4,,Jepang - Honshu,green,0
2022-08-09 18:31:00,-0.8227,99.1722,8.8,55.4,Indonesia - Sumatra,green,1
2022-08-11 11:16:00,36.7712,39.3232,8.8,46.6,Turki - Anatolia Timur,green,1
2022-08-12 03:18:00,37.4087,37.8114,5.5,35.8,Turki - Anatolia Timur,yellow,0
2022-08-13 20:32:00,17.6421,121.0958,6.2,1.0,Filipina - Luzon,green,0
2022-08-15 14:50:00,36.0267,-120.5134,5.5,10.6,Amerika Serikat - California,red,0
2022-08-29 18:22:00,-6.8819,114.6233,7.9,63.5,Indonesia - Jawa,green,1
2022-09-16 16:47:00,15.1948,120.3785,8.7,137.6,Filipina - Luzon,green,0
2022-09-19 19:20:00,35.2586,24.951,8.3,132.5,Yunani - Kreta,green,0
2022-10-05 18:13:00,33.6644,130.3429,4.7,15.2,Jepang - Kyushu,green,0
2022-10-06 05:08:00,35.5001,27.0601,4.6,42.9,Yunani - Kreta,green,0
2022-10-09 05:27:00,-35.3851,-72.4702,5.6,66.0,Chile - Valparaiso,green,0
2022-10-16 21:42:00,-1.5916,98.291,4.4,1.9,Indonesia - Sumatra,green,0
2022-10-17 04:26:00,28.1847,85.2653,7.6,55.8,Nepal - Kathmandu,green,0
2022-11-05 23:15:00,29.9874,50.0022,8.3,46.1,Iran - Zagros,green,0
2022-11-06 00:24:00,2.5721,100.3847,8.8,3.1,Indonesia - Sumatra,green,0
2022-11-22 05:46:00,36.1599,141.8244,8.8,2.7,Jepang - Honshu,yellow,1
2023-02-17 00:23:00,33.572,26.5289,8.8,87.2,Yunani - Kreta,orange,0
2023-02-17 14:24:00,34.2046,129.8151,5.0,10.2,Jepang - Kyushu,green,0
2023-03-04 02:16:00,-4.6186,149.8546,5.1,42.0,Papua Nugini - New Britain,green,0
2023-03-06 09:51:00,0.3069,103.5464,7.7,2.3,Indonesia - Sumatra,green,0
2023-03-21 02:43:00,-33.7047,-69.872,3.1,42.0,Chile - Valparaiso,green,0
2023-03-28 14:35:00,17.8996,120.9379,8.8,4.3,Filipina - Luzon,green,1
2023-04-08 01:29:00,-2.041,100.8205,8.7,,Indonesia - Sumatra,green,1
2023-04-13 17:01:00,-5.4289,154.0839,4.6,59.8,Papua Nugini - New Britain,green,0
2023-04-14 06:28:00,32.9624,50.4293,7.8,48.5,Iran - Zagros,green,1
2023-04-17 07:41:00,19.1501,-96.7096,4.1,16.2,Meksiko - Oaxaca,green,0
2023-04-20 06:26:00,-4.1148,150.4271,5.3,60.0,Papua Nugini - New Britain,green,0
2023-05-03 01:11:00,-6.9343,107.3052,5.0,25.9,Indonesia - Jawa,green,0
2023-05-03 02:26:00,-33.0392,-71.0601,4.9,17.0,Chile - Valparaiso,green,0
2023-05-31 01:59:00,-5.7709,151.0041,8.5,40.0,Papua Nugini - New Britain,yellow,1
2023-06-30 18:49:00,32.7451,49.1972,5.0,18.9,Iran - Zagros,green,0
2023-07-15 02:00:00,-40.5706,176.039,4.7,68.7,Selandia Baru - Wellington,green,0
2023-07-20 16:19:00,-1.303,101.8943,8.8,4.4,Indonesia - Sumatra,green,0
2023-07-21 05:34:00,35.6788,26.1402,7.6,1.2,Yunani - Kreta,green,1
2023-07-28 06:08:00,33.6989,24.9543,8.8,48.0,Yunani - Kreta,yellow,1
2023-07-30 19:12:00,34.8871,26.0009,5.9,12.7,Yunani - Kreta,green,0
2023-08-04 14:21:00,-3.2431,127.0051,6.9,4.1,Indonesia - Maluku,green,0
2023-08-21 13:14:00,15.5185,122.0123,4.7,7.3,Filipina - Luzon,,0
2023-10-01 04:25:00,-32.0678,-71.6286,5.6,54.5,Chile - Valparaiso,yellow,0
2023-10-13 04:46:00,-36.4755,-71.9733,5.7,6.8,Chile - Valparaiso,green,0
2023-10-19 23:16:00,36.5588,26.2397,5.8,146.8,Yunani - Kreta,green,0
2023-10-20 18:53:00,-42.6565,173.1562,5.1,144.5,Selandia Baru - Wellington,green,0
2023-11-16 10:21:00,-4.5333,109.405,8.8,60.5,Indonesia - Jawa,green,0
2023-12-31 06:30:00,31.3596,51.2482,6.3,68.6,Iran - Zagros,green,1
2024-01-22 23:52:00,-33.6603,-70.8815,7.6,4.2,Chile - Valparaiso,yellow,0
2024-02-10 05:33:00,37.6562,39.8493,5.5,47.5,Turki - Anatolia Timur,green,0
2024-03-05 14:13:00,-34.6627,-69.7668,3.2,23.0,Chile - Valparaiso,green,0
2024-03-09 14:15:00,-41.8274,175.2705,6.3,26.4,Selandia Baru - Wellington,green,0
2024-03-19 21:24:00,-7.4044,111.216,3.5,65.2,Indonesia - Jawa,green,0
2024-04-01 10:58:00,-2.4773,125.7151,6.1,53.5,Indonesia - Maluku,green,0
2024-04-10 14:31:00,14.8976,-97.0842,3.9,175.8,Meksiko - Oaxaca,green,0
2024-04-20 14:19:00,-33.9581,-70.908,6.9,9.7,Chile - Valparaiso,yellow,0
2024-04-28 12:31:00,35.8695,-119.5179,8.2,132.1,Amerika Serikat - California,green,0
2024-05-04 07:03:00,-8.222,112.2227,6.5,96.0,Indonesia - Jawa,green,0
2024-05-07 04:09:00,0.979,102.4666,7.0,35.2,Indonesia - Sumatra,green,0
2024-05-14 16:01:00,34.3599,50.9762,4.5,,Iran - Zagros,green,0
2024-05-23 11:49:00,29.9334,133.3679,5.4,4.5,Jepang - Kyushu,yellow,0
2024-06-12 07:44:00,38.0579,39.1886,6.3,3.9,Turki - Anatolia Timur,orange,0
2024-06-13 17:05:00,37.4793,39.1257,3.9,51.4,Turki - Anatolia Timur,green,0
2024-06-24 16:55:00,37.7047,38.8242,5.0,49.8,Turki - Anatolia Timur,green,0
2024-07-07 12:10:00,18.3659,-98.1774,4.4,47.2,Meksiko - Oaxaca,green,0
2024-07-19 01:52:00,-8.487,109.4699,6.4,40.2,Indonesia - Jawa,red,0
2024-08-09 04:02:00,-0.3708,101.017,7.1,133.6,Indonesia - Sumatra,green,0
2024-08-14 22:08:00,-30.7087,-70.0734,6.4,65.6,Chile - Valparaiso,green,0
2024-09-06 13:19:00,33.314,49.9424,8.8,73.3,Iran - Zagros,green,0
2024-09-09 19:46:00,-40.531,174.8716,5.3,81.9,Selandia Baru - Wellington,green,0
2024-10-29 08:37:00,33.999,50.5897,4.7,46.3,Iran - Zagros,green,0
2024-10-30 00:52:00,31.4493,48.3406,8.8,172.2,Iran - Zagros,green,0
2024-11-05 10:47:00,-7.5441,150.9333,7.4,15.9,Papua Nugini - New Britain,green,1
2024-11-07 20:06:00,40.6731,38.975,4.9,11.5,Turki - Anatolia Timur,green,0
2024-11-16 04:35:00,36.1389,25.8199,5.6,2.0,Yunani - Kreta,green,0
2024-12-01 09:38:00,37.8542,39.6985,8.7,59.0,Turki - Anatolia Timur,orange,0
2024-12-02 06:41:00,-5.3742,130.9021,6.3,92.4,Indonesia - Maluku,green,0
2024-12-07 08:36:00,37.8899,37.5098,6.9,60.8,Turki - Anatolia Timur,green,0
2021-04-20 07:40:00,36.9321,24.7372,6.5,2.3,Yunani - Kreta,green,0
2020-01-28 22:13:00,-5.2822,150.0697,6.6,10.8,Papua Nugini - New Britain,,0
