student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality
S1107,20,Male,2.1,2.9,1.4,No,76.9,6.1,Fair
S1108,22,Female,2.4,1.9,2.1,No,93.3,6.6,Poor
S1109,23,Female,5.4,2.4,2.5,No,95.7,6.0,Fair
S1110,24,Male,5.1,2.9,1.6,No,64.3,6.5,Fair
S1111,23,Female,4.4,1.9,0.8,No,84.8,8.3,Good
S1112,24,Female,1.9,1.7,2.8,No,96.2,4.9,Fair
S1113,22,Male,3.0,2.5,2.6,No,83.1,5.5,Fair
S1114,23,Female,5.3,1.2,0.8,No,92.3,8.2,Fair
S1115,20,Female,3.7,1.2,3.3,No,88.5,7.7,Poor
S1116,17,Male,7.0,3.3,3.1,No,88.4,6.1,Good
S1117,22,Male,4.1,1.1,1.9,No,82.3,7.5,Good
S1118,24,Female,3.8,3.3,1.9,No,72.8,6.9,Poor
S1119,21,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair
S1120,24,Male,3.7,0.4,0.9,No,92.1,6.6,Fair
S1121,21,Male,3.3,1.7,1.8,No,85.2,7.7,Poor
S1122,18,Male,4.6,3.9,0.0,No,83.6,9.7,Poor
S1123,23,Female,4.9,1.3,2.8,No,80.8,7.2,Good
S1124,21,Female,2.3,1.9,0.1,No,81.9,6.6,Fair
S1125,24,Male,1.5,3.1,3.5,No,95.5,7.4,Fair
S1126,18,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor
S1127,17,Female,4.3,2.2,1.6,No,71.6,9.4,Good
S1128,20,Male,1.8,1.8,1.1,No,92.4,6.7,Good
S1129,20,Male,0.3,4.2,1.5,No,83.0,6.2,Good
S1130,20,Female,4.1,4.6,3.4,No,85.3,5.5,Poor
S1131,21,Female,7.2,3.7,0.0,No,100.0,7.8,Good
S1132,17,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair
S1133,21,Female,4.8,1.5,2.2,No,87.9,5.9,Fair
S1134,23,Male,3.6,1.5,0.5,No,73.2,7.2,Fair
S1135,21,Male,3.4,3.1,0.6,No,82.8,4.7,Fair
S1136,17,Female,4.9,3.0,3.6,No,91.1,6.7,Good
S1137,17,Male,3.1,4.2,0.8,No,69.4,7.0,Good
S1138,23,Male,3.9,3.3,0.5,No,87.0,8.5,Fair
S1139,17,Male,4.0,0.7,3.1,No,86.0,5.6,Good
S1140,24,Male,2.5,3.8,2.2,No,85.4,5.0,Good
S1141,17,Male,5.0,1.3,0.8,No,95.4,5.4,Good
S1142,20,Male,3.2,2.0,2.0,No,88.3,4.9,Fair
S1143,24,Male,2.4,2.8,0.7,No,99.8,8.1,Fair
S1144,24,Male,4.3,4.9,3.0,No,75.1,8.4,Fair
S1145,23,Female,2.2,6.2,3.0,No,86.4,6.9,Good
S1146,19,Female,3.5,3.2,2.4,No,85.8,8.0,Poor
S1147,19,Female,3.5,2.3,2.2,No,74.3,6.7,Fair
S1148,17,Female,5.1,3.1,3.7,No,94.6,6.4,Fair
S1149,24,Female,4.2,3.6,1.8,Yes,100.0,6.1,Fair
S1150,19,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good
S1151,19,Female,4.7,4.7,2.3,No,90.1,4.6,Good
S1152,17,Female,5.6,2.8,4.1,No,85.8,6.8,Good
S1153,19,Female,4.3,3.1,0.7,No,77.9,6.5,Good
S1154,21,Male,3.5,3.3,1.4,No,66.8,7.4,Fair
S1155,18,Male,1.5,3.0,2.3,No,77.9,6.6,Fair
S1156,23,Male,1.9,3.5,1.7,Yes,71.1,6.3,Fair
S1157,18,Male,3.0,1.8,0.7,No,100.0,5.5,Poor
S1158,17,Female,2.6,1.8,3.0,No,83.8,6.6,Fair
S1159,20,Female,3.2,1.2,4.4,No,81.5,7.4,Good
S1160,23,Male,3.6,3.0,2.0,No,93.9,5.1,Fair
S1161,17,Other,4.3,3.4,0.8,No,73.8,6.6,Good
S1162,24,Female,3.4,3.0,0.1,No,77.3,6.8,Fair
S1163,20,Male,4.2,4.5,2.1,No,85.7,5.6,Poor
S1164,18,Male,3.6,2.5,3.0,No,95.3,5.8,Poor
S1165,17,Male,0.5,3.3,2.3,No,90.0,6.8,Fair
S1166,24,Male,2.1,1.2,1.8,No,87.5,5.1,Fair
S1167,23,Male,3.3,2.0,1.2,Yes,85.8,6.9,Poor
S1168,23,Male,1.7,3.3,0.6,No,89.0,5.4,Fair
S1169,22,Male,4.4,3.5,2.7,Yes,87.0,7.8,Fair
S1170,24,Male,5.8,2.1,2.8,No,74.7,9.3,Fair
S1171,21,Female,5.3,2.4,0.1,No,85.5,5.5,Good
S1172,19,Male,3.2,0.7,3.5,No,74.3,7.1,Good
S1173,20,Female,5.7,2.1,2.4,No,85.8,5.6,Fair
S1174,24,Male,3.7,3.6,3.3,Yes,80.2,7.7,Good
S1175,22,Other,3.0,3.2,0.3,No,100.0,5.0,Good
S1176,19,Male,2.6,3.1,0.3,No,84.6,7.1,Good
S1177,19,Male,3.0,2.6,1.6,No,71.0,5.5,Fair
S1178,17,Other,2.9,2.5,2.4,Yes,83.7,6.3,Poor
S1179,19,Female,3.8,1.7,3.8,No,90.2,5.3,Good
S1180,21,Female,3.7,3.3,2.6,Yes,100.0,7.5,Fair
S1181,23,Male,3.5,3.0,1.5,Yes,79.1,5.5,Good
S1182,22,Male,4.2,3.1,0.7,No,69.2,7.2,Good
S1183,19,Female,5.3,1.9,3.2,No,93.2,6.1,Fair
S1184,17,Female,4.9,0.0,0.7,No,71.2,6.4,Fair
S1185,21,Female,1.3,3.8,3.6,Yes,80.6,6.7,Fair
S1186,18,Female,0.0,1.9,1.5,No,82.4,5.6,Fair
S1187,23,Male,4.9,1.5,3.5,No,84.3,6.8,Fair
S1188,23,Female,1.4,3.3,2.5,No,91.9,8.3,Fair
S1189,22,Male,3.2,2.0,1.6,No,78.2,5.6,Fair
S1190,23,Male,1.7,3.8,1.2,No,82.3,7.9,Poor
S1191,19,Male,0.8,3.2,1.4,No,84.9,8.3,Good
S1192,17,Female,4.3,3.3,2.3,No,86.5,5.5,Poor
S1193,23,Male,4.6,0.9,1.9,No,86.0,4.8,Good
S1194,23,Male,2.6,4.0,1.1,No,89.4,6.9,Good
S1195,18,Female,0.0,2.8,1.6,No,93.4,5.8,Fair
S1196,18,Male,2.7,2.1,1.9,No,88.9,8.7,Good
S1197,20,Female,4.1,2.7,0.0,No,89.5,6.5,Fair
S1198,21,Male,1.3,0.4,2.3,Yes,69.2,5.5,Good
S1199,19,Female,3.8,3.0,0.7,No,85.5,5.1,Fair
S1200,23,Female,3.5,1.3,0.5,No,89.8,7.8,Fair
S1201,24,Male,4.4,0.9,0.0,No,92.3,5.8,Fair
S1202,23,Male,3.7,0.7,0.0,No,78.1,6.6,Fair
S1203,17,Male,2.0,3.8,0.3,No,78.4,7.6,Fair
S1204,20,Male,5.3,1.7,1.0,No,79.3,5.9,Fair
S1205,21,Other,3.3,4.3,3.9,No,90.4,6.4,Fair
S1206,24,Male,3.5,1.9,1.2,No,95.3,6.5,Poor
S1207,20,Female,2.1,0.5,2.0,No,80.9,7.3,Poor
S1208,22,Male,2.8,1.2,2.2,Yes,94.1,7.2,Fair
S1209,21,Female,2.2,4.0,1.9,No,86.2,6.2,Poor
S1210,23,Female,3.2,2.3,1.7,Yes,83.8,6.6,Poor
S1211,23,Female,6.1,1.8,0.5,No,82.9,6.1,Good
S1212,21,Male,1.4,2.7,3.4,No,92.5,4.7,Poor
S1213,23,Male,1.1,3.1,3.8,No,88.3,6.8,Good
S1214,19,Male,5.7,3.8,0.0,No,100.0,8.8,Fair
S1215,21,Female,3.2,4.2,0.7,No,76.5,5.4,Good
S1216,20,Female,2.5,2.1,1.5,No,90.2,5.6,Fair
S1217,21,Other,5.1,0.9,0.7,No,79.7,5.5,Fair
S1218,24,Male,2.6,2.0,2.4,No,76.3,7.4,Fair
S1219,23,Female,6.2,2.8,1.0,No,84.9,7.0,Fair
S1220,19,Female,4.5,1.3,4.2,No,86.4,6.3,Fair
S1221,19,Male,2.8,1.4,3.1,No,100.0,5.4,Poor
S1222,22,Male,6.7,2.9,2.0,No,83.2,6.6,Good
S1223,20,Female,2.6,2.4,2.9,No,73.7,4.6,Fair
S1224,18,Female,4.6,2.5,3.0,No,87.7,6.7,Fair
S1225,18,Female,3.9,1.6,1.2,No,64.3,7.5,Good
S1226,21,Male,5.5,2.2,0.9,Yes,84.1,5.0,Fair
S1227,22,Female,5.8,1.4,1.9,No,85.2,4.7,Good
S1228,17,Male,3.5,3.6,2.7,No,92.9,8.4,Fair
S1229,21,Male,2.4,3.7,2.0,No,94.7,5.8,Good
S1230,22,Male,4.2,0.3,0.1,No,80.0,7.9,Poor
S1231,20,Female,2.5,1.4,0.9,No,83.5,6.3,Good
S1232,20,Female,6.5,0.7,1.7,No,77.3,6.3,Good
S1233,20,Female,3.7,1.7,1.7,No,73.7,7.0,Fair
S1234,20,Male,3.0,2.4,4.0,No,88.1,5.4,Poor
S1235,20,Female,3.8,0.8,0.3,No,72.3,6.7,Fair
S1236,22,Male,1.5,1.4,2.4,No,80.9,6.0,Good
S1237,22,Female,2.0,1.3,3.4,Yes,75.0,4.9,Fair
S1238,19,Male,5.3,2.7,4.3,No,90.5,6.9,Fair
S1239,24,Male,2.5,2.6,1.4,No,100.0,6.2,Poor
S1240,18,Male,1.9,1.6,2.3,No,72.0,6.3,Fair
S1241,23,Male,4.3,2.7,2.4,Yes,66.5,5.0,Fair
S1242,20,Female,5.3,1.8,2.0,No,83.8,8.4,Good
S1243,17,Female,4.6,2.2,1.7,No,85.2,7.6,Fair
S1244,23,Male,5.0,4.5,2.3,No,87.2,7.7,Good
S1245,22,Female,2.4,4.1,0.0,No,80.5,6.1,Fair
S1246,17,Male,1.4,0.9,2.6,Yes,83.0,4.4,Poor
S1247,17,Female,5.8,3.5,1.9,No,88.7,8.8,Fair
S1248,17,Female,3.0,3.5,1.6,No,95.4,6.4,Fair
S1249,19,Female,3.1,1.1,4.1,No,65.4,5.6,Good
S1250,22,Male,5.5,3.5,1.1,Yes,81.3,7.0,Good
S1251,17,Female,4.3,4.3,1.4,No,87.1,7.9,Fair
S1252,20,Female,4.2,1.2,4.0,No,75.8,6.5,Fair
S1253,21,Male,6.7,1.4,0.9,No,100.0,8.0,Fair
S1254,17,Male,2.5,3.7,1.2,Yes,78.6,7.8,Good
S1255,19,Female,4.9,2.8,1.6,No,84.6,5.2,Good
S1256,23,Female,3.6,3.2,2.7,No,90.6,5.7,Good
S1257,22,Female,3.9,2.9,2.0,No,79.1,7.6,Fair
S1258,24,Female,5.8,3.0,0.4,No,66.5,3.2,Fair
S1259,19,Female,4.3,0.9,1.2,No,80.7,6.3,Fair
S1260,17,Male,4.3,3.8,1.1,No,95.3,4.8,Fair
S1261,22,Male,5.1,3.9,1.7,Yes,81.6,5.9,Fair
S1262,21,Male,3.0,2.2,2.3,No,76.5,6.1,Poor
S1263,17,Female,2.2,2.4,2.3,Yes,94.3,6.1,Poor
S1264,19,Male,1.9,0.7,0.0,No,81.7,5.8,Good
S1265,18,Female,0.6,3.1,3.0,No,79.9,5.2,Good
S1266,20,Female,6.6,3.2,2.1,No,86.5,9.3,Fair
S1267,24,Female,1.8,2.4,3.3,Yes,92.7,8.7,Fair
S1268,23,Male,3.2,3.8,2.3,No,100.0,5.1,Fair
S1269,19,Female,3.1,2.1,3.0,No,93.3,8.4,Good
S1270,22,Male,4.0,3.2,2.3,Yes,96.6,6.0,Good
S1271,24,Female,4.7,1.3,3.3,Yes,79.9,6.7,Good
S1272,24,Male,4.8,2.5,2.4,Yes,74.7,6.4,Good
S1273,24,Male,2.6,2.3,1.7,No,85.6,5.7,Fair
S1274,17,Female,3.2,2.8,4.3,No,86.1,7.7,Fair
S1275,20,Male,3.9,2.1,2.8,No,74.2,6.7,Fair
S1276,17,Male,3.1,2.3,2.4,Yes,83.2,5.9,Fair
S1277,22,Female,5.9,3.5,0.4,No,89.0,4.9,Good
S1278,17,Female,4.2,2.0,0.4,No,88.6,5.4,Fair
S1279,18,Female,4.6,0.6,2.1,No,90.0,4.5,Poor
S1280,20,Female,4.5,4.6,2.0,No,87.9,6.5,Fair
S1281,20,Female,5.3,4.2,1.1,Yes,79.9,5.1,Good
S1282,22,Male,3.8,0.9,2.0,Yes,79.9,6.2,Fair
S1283,23,Male,1.6,3.3,3.5,Yes,73.0,8.1,Good
S1284,18,Male,4.1,1.9,2.6,No,100.0,7.9,Fair
S1285,19,Female,2.5,2.8,0.5,Yes,85.1,6.5,Poor
S1286,17,Female,2.7,2.9,1.7,No,82.8,6.4,Fair
S1287,21,Male,4.4,2.2,0.9,No,75.7,8.8,Good
S1288,17,Male,5.4,1.6,1.4,No,100.0,7.1,Fair
S1289,24,Female,3.5,1.7,1.3,No,74.3,6.1,Good
S1290,17,Male,4.0,1.4,1.3,No,80.7,4.8,Fair
S1291,19,Female,6.1,1.5,0.4,No,89.2,7.0,Poor
S1292,17,Female,3.9,2.4,1.7,Yes,91.0,7.5,Good
S1293,18,Female,7.4,1.6,1.2,No,94.6,5.7,Fair
S1294,18,Male,4.3,3.3,0.0,No,100.0,6.8,Fair
S1295,20,Female,0.9,4.3,4.1,No,90.1,6.1,Good
S1296,22,Female,4.6,1.8,3.0,No,74.4,6.3,Fair
S1297,23,Female,4.1,2.8,1.4,No,82.4,3.5,Good
S1298,21,Female,5.4,3.1,1.8,No,88.1,6.2,Poor
S1299,24,Female,4.5,3.1,0.5,No,100.0,7.7,Fair
S1300,17,Female,3.3,2.6,3.7,No,71.0,5.7,Poor
S1301,17,Male,1.7,3.4,3.9,Yes,97.0,6.6,Good
S1302,19,Female,3.2,3.1,2.0,No,86.8,5.6,Fair
S1303,22,Female,2.2,1.0,2.9,No,93.4,6.9,Good
S1304,18,Male,2.6,3.5,2.0,No,84.0,6.2,Good
S1305,21,Female,4.4,3.6,0.3,No,76.6,5.4,Fair
S1306,20,Female,6.0,1.6,1.3,No,92.5,8.1,Fair
S1307,18,Female,4.1,2.5,1.9,Yes,91.5,7.6,Fair
S1308,24,Male,1.7,3.3,1.3,No,94.7,5.8,Fair
S1309,22,Male,4.2,2.2,1.6,No,84.9,7.1,Fair
S1310,24,Other,5.3,3.8,1.7,No,79.0,7.1,Good
S1311,23,Female,2.6,5.3,1.7,Yes,69.4,7.3,Good
S1312,20,Male,3.3,1.6,1.9,No,93.2,4.5,Good
S1313,23,Female,3.5,0.8,0.6,No,89.2,7.7,Good
S1314,19,Female,2.3,2.9,1.0,No,75.3,5.8,Good
S1315,24,Female,4.5,3.4,0.4,No,79.6,6.1,Fair
S1316,19,Female,3.3,2.2,2.9,Yes,80.3,9.7,Good
S1317,17,Male,4.1,4.2,0.0,No,70.2,6.9,Good
S1318,23,Male,2.2,0.9,3.1,No,76.8,6.0,Fair
S1319,22,Male,2.8,3.3,3.3,No,73.7,3.9,Good
S1320,24,Female,4.6,1.8,1.5,No,80.9,8.2,Fair
S1321,21,Male,2.9,4.6,0.0,Yes,77.6,4.9,Good
S1322,20,Male,6.1,4.9,1.4,No,68.7,5.3,Good
S1323,18,Male,2.9,1.6,1.7,No,100.0,6.1,Good
S1324,22,Female,3.8,1.8,0.7,No,97.5,8.2,Fair
S1325,22,Female,4.9,3.5,1.2,No,77.2,7.4,Good
S1326,19,Male,1.4,2.0,3.5,No,87.7,6.3,Fair
S1327,23,Male,0.9,2.4,2.5,No,89.2,6.9,Fair
S1328,24,Female,1.2,2.5,0.8,Yes,96.9,5.8,Good
S1329,24,Male,5.4,0.2,0.0,No,76.8,6.7,Fair
S1330,17,Male,2.7,2.5,1.4,No,95.9,6.6,Good
S1331,17,Male,7.3,1.7,1.6,No,79.5,7.7,Fair
S1332,20,Male,2.7,1.9,2.3,No,71.6,7.7,Fair
S1333,19,Male,3.8,4.2,1.2,No,92.2,7.1,Good
S1334,22,Female,5.8,1.0,2.4,No,97.9,6.1,Fair
S1335,24,Male,6.5,3.5,3.9,No,100.0,7.4,Poor
S1336,21,Female,6.6,2.2,2.7,No,73.0,6.4,Good
S1337,19,Male,5.3,2.2,1.7,No,92.0,5.2,Fair
S1338,20,Female,5.0,3.4,1.6,Yes,80.9,6.0,Good
S1339,20,Female,4.4,2.9,1.4,No,92.8,6.6,Fair
S1340,19,Male,4.7,3.2,3.1,Yes,70.3,7.6,Fair
S1341,20,Female,2.7,3.7,1.1,No,72.4,6.3,Fair
S1342,19,Male,2.3,2.1,1.8,No,77.2,5.0,Fair
S1343,18,Other,3.5,1.8,1.9,No,85.8,6.6,Fair
S1344,19,Male,3.2,1.2,1.2,No,78.6,6.6,Fair
S1345,23,Male,2.8,1.5,0.3,No,91.6,6.7,Fair
S1346,19,Male,4.5,6.0,2.2,Yes,95.3,7.6,Poor
S1347,20,Other,4.9,4.0,1.7,No,91.0,7.7,Fair
S1348,24,Female,3.6,0.9,2.4,No,100.0,5.8,Poor
S1349,23,Female,5.7,0.9,1.2,No,89.2,5.8,Poor
S1350,20,Male,1.8,3.1,3.1,No,72.8,5.3,Good
S1351,17,Female,3.2,3.2,0.8,No,98.6,7.3,Good
S1352,17,Male,2.4,3.2,3.7,No,78.9,8.2,Good
S1353,24,Female,0.7,2.2,0.0,No,94.1,6.1,Fair
S1354,24,Male,3.4,2.3,2.3,No,100.0,6.2,Good
S1355,23,Male,3.3,2.9,2.3,Yes,89.6,8.3,Good
S1356,18,Male,5.8,2.6,0.9,Yes,70.0,7.1,Good
S1357,24,Male,4.4,0.0,2.3,No,75.8,7.0,Fair
S1358,17,Female,2.0,2.2,3.2,No,98.2,5.1,Good
S1359,19,Male,6.3,1.5,0.0,No,83.3,7.3,Good
S1360,20,Female,5.3,2.7,2.4,Yes,85.8,5.4,Good
S1361,17,Male,4.4,6.1,0.0,No,92.6,5.1,Poor
S1362,17,Female,3.2,2.9,0.7,No,92.0,6.1,Fair
S1363,18,Male,2.1,2.1,3.6,No,87.8,5.8,Fair
S1364,23,Male,2.9,3.6,1.2,No,82.9,6.2,Fair
S1365,23,Female,5.1,3.1,0.5,Yes,81.9,4.8,Good
S1366,22,Male,6.3,3.0,1.6,No,93.6,7.7,Poor
S1367,18,Male,5.8,3.2,4.1,No,90.5,7.9,Poor
S1368,19,Female,2.8,5.0,0.0,Yes,82.4,4.2,Fair
S1369,23,Female,1.8,1.1,0.6,Yes,95.8,7.7,Poor
S1370,20,Male,3.7,3.1,3.4,Yes,83.7,5.5,Fair
S1371,24,Male,0.8,1.4,3.8,Yes,76.5,7.5,Good
S1372,18,Female,4.0,3.2,1.7,No,77.4,6.4,Fair
S1373,24,Male,3.3,1.4,0.4,No,75.2,6.5,Poor
S1374,17,Male,2.8,2.0,4.1,Yes,82.3,6.3,Fair
S1375,20,Male,1.1,2.1,3.6,Yes,97.3,8.0,Fair
S1376,20,Female,4.3,3.7,2.5,No,76.9,5.0,Poor
S1377,17,Female,2.7,3.6,0.9,No,86.9,7.2,Good
S1378,18,Male,1.7,1.0,1.7,No,78.4,7.8,Good
S1379,17,Male,0.0,2.6,1.6,No,82.4,7.4,Good
S1380,24,Male,3.5,1.6,2.2,No,69.9,9.3,Good
S1381,22,Female,6.2,1.0,3.4,No,82.8,5.9,Poor
S1382,20,Male,6.0,2.2,2.8,Yes,83.1,7.6,Good
S1383,21,Male,2.8,2.1,0.6,No,90.4,6.4,Good
S1384,21,Female,2.6,5.4,3.3,No,87.2,8.0,Good
S1385,24,Male,4.2,3.0,2.1,No,73.0,6.5,Poor
S1386,19,Female,2.0,0.8,2.6,No,95.8,6.0,Good
S1387,23,Male,4.0,1.8,3.4,No,87.1,8.1,Good
S1388,17,Male,4.6,3.7,0.6,No,87.0,5.9,Good
S1389,17,Male,5.3,5.0,1.8,No,84.9,4.8,Poor
S1390,19,Female,3.3,0.6,1.2,Yes,79.8,5.9,Good
S1391,19,Female,3.2,0.2,0.1,Yes,87.2,7.2,Good
S1392,24,Female,2.2,4.7,2.2,No,89.8,8.2,Good
S1393,24,Male,2.3,3.0,4.6,No,67.5,6.6,Fair
S1394,19,Female,3.2,1.5,0.0,No,79.6,8.1,Good
S1395,20,Male,4.1,3.1,1.8,No,82.5,4.9,Fair
